doy,hod,A(Treg),A(TpDep),A(std),A(std2),E(Treg),E(TpDep),E(std),E(std2),gs(Treg),gs(TpDep),gs(std),gs(std2),gb(Treg),gb(TpDep),gb(std),gb(std2),gmin(Treg),gmin(TpDep),gmin(std),gmin(std2),Ci(Treg),Ci(TpDep),Ci(std),Ci(std2),Tleaf(Treg),Tleaf(TpDep),Tleaf(std),Tleaf(std2),Pleaf(Treg),Pleaf(TpDep),Pleaf(std),Pleaf(std2),Rublim(Treg),Rublim(TpDep),Rublim(std),Rublim(std2),Ps(Treg),Ps(TpDep),Ps(std),Ps(std2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
20,10.4,18.68983388242358,11.981219723616103,14.051772755419295,16.80456419032751,7.58492485280728,2.7956820352065965,3.405480521698951,5.031314721265132,0.2998575,0.1,0.12361176119789384,0.188801580551064,4.64,4.64,4.64,4.64,,,,0.0015800293253132303,28.5448008249778,19.678312536988372,20.571400890029306,24.38520353146115,26.15953535016747,26.98042584930644,26.87119345333131,26.586812314058655,-4.615430484295495,-2.151357621073874,-2.356697026342342,-2.949899752673473,False,True,True,True,-1.33,-1.33,-1.33,-1.33
20,12.6,16.3808157554061,11.246801168799093,9.880812743439733,13.98863054632751,10.080418230009002,4.474161976918882,3.3503484703053292,6.2574672362942945,0.23440749999999994,0.1,0.0743881803384038,0.14180091099145908,9.29,9.29,9.29,9.29,,,,0.0016732692411511266,28.112416138145747,21.480292407505004,18.287482881369048,23.611467604663662,29.466175541456458,29.93891493802373,30.036397744135147,29.78605306046479,-5.87028240538058,-2.744560347405005,-2.333881536868068,-3.543102479004604,True,True,True,True,-1.33,-1.33,-1.33,-1.33
20,12.83333333,15.544988070209817,10.918397211180785,10.772469325809464,14.041351272522578,9.706079949971327,4.551980281985953,4.108179650295198,6.909255615461918,0.22119,0.1,0.09010089768215046,0.15456563978475624,9.29,9.29,9.29,9.29,,,,0.0016954347599498975,28.105983267955615,22.046291186645156,20.407597157902778,24.884300826398338,30.27651791525298,30.71132535308512,30.749659179168635,30.510006312433923,-5.87028240538058,-2.428019169353329,-2.2835885440654726,-3.4149617754870167,True,True,True,True,-1.08,-1.08,-1.08,-1.08
20,12.96666667,15.081868121201698,10.728198578193783,10.238245225779734,13.541388208688216,9.678030105098596,4.677918535254805,3.9888264824278226,6.83173209816714,0.21426250000000002,0.1,0.08499402442109219,0.14848396998080146,9.29,9.29,9.29,9.29,,,,0.001708085047996794,28.092120084476974,22.345347675843545,20.27048765760411,24.832429994823393,30.68248986185539,31.10383822697759,31.16331724456622,30.920073317629285,-5.87028240538058,-2.476162711115948,-2.2354450023028534,-3.3668182337243975,True,True,True,True,-1.08,-1.08,-1.08,-1.08
20,13.11666667,15.702362754071153,10.967729257428651,10.268971776889497,13.839413309953574,9.473400484101022,4.3807189028511715,3.6230191524636415,6.358167113174423,0.22450499999999995,0.1,0.08236731834380426,0.14747481461982687,9.29,9.29,9.29,9.29,,,,0.0016911214937852365,28.06124670778196,21.872636741553436,19.514383048857887,24.31920285870652,30.108437029322737,30.539124516082854,30.6048648365036,30.369526710817595,-5.87028240538058,-2.514250325132224,-2.256094011266965,-3.3591255341457957,True,True,True,True,-1.2,-1.2,-1.2,-1.2
20,13.21666667,15.257535049409608,10.820506343247823,9.602493189255764,13.308785014568638,9.756908859600143,4.679037703294747,3.543861594098882,6.446725416557863,0.21604749999999995,0.1,0.07525871967127531,0.13969671543732107,9.29,9.29,9.29,9.29,,,,0.0017057924203949125,28.181397583909902,22.32688899175635,19.284418902660356,24.322515076583485,30.569836720418103,30.997619016279238,31.095795964578162,30.846546877911738,-5.87028240538058,-2.6315941041618864,-2.232625255461033,-3.3825942899517285,True,True,True,True,-1.2,-1.2,-1.2,-1.2
20,15.03333333,15.50617166211598,10.64091622002314,8.932051090623776,12.996156176537005,10.717396694970432,5.153334080605159,3.60847113526972,6.777348596907372,0.22322999999999993,0.1,0.06904273280607294,0.13489831823752943,4.64,4.64,4.64,4.64,,,,0.0017059880508809118,28.016012201140946,22.3451814074274,18.760722280505824,23.842546331553816,30.251896457776407,31.156142017374727,31.42024298648308,30.884223592205263,-5.87028240538058,-2.819344150609347,-2.256094011266965,-3.570344336399189,True,True,True,True,-1.2,-1.2,-1.2,-1.2
20,15.16666667,11.383835757949667,0.029488439123690702,5.224772566171888,12.561076881422796,9.223213592752762,0.06068485421528043,2.310965096691178,6.306133608998756,0.17027499999999995,0.001,0.0393954001957156,0.1311596899696623,4.64,4.64,4.64,4.64,,,,0.0017173239252426405,28.523138256240138,34.75053976111819,18.336726938361576,23.8250787118583,33.601500569122884,35.158945444799265,34.756727385385005,34.06539060547008,-5.87028240538058,-1.2234687558059325,-1.8571251625661118,-3.312188022533931,True,True,True,True,-1.2,-1.2,-1.2,-1.2
20,15.36666667,10.974025966780271,0.03175834817597423,5.139038308030013,12.996413300402944,9.230622646377412,0.06266306176807288,2.400053416424797,24.560027329967873,0.1646224999999999,0.001,0.039509800919191526,0.45143911120394237,4.64,4.64,4.64,4.64,,,,0.017757812363494708,28.635198687012245,34.46299194274045,18.854588581478062,34.67063661348159,33.91896395730743,35.474584391518164,35.0581825882352,31.741627454497834,-5.87028240538058,-1.1040717708813095,-1.7540095846766646,-5.87028240538058,True,True,True,True,-1.08,-1.08,-1.08,-1.08
20,15.45,11.019682230315285,0.03160475878847446,5.1879504041133,16.834249257030972,9.220529902657034,0.06240033551523753,2.4141379820462285,24.19301879000154,0.16517499999999996,0.001,0.03992027177141186,0.5164795733018216,4.64,4.64,4.64,4.64,,,,0.001738839393837331,28.63430619468614,34.49599599714963,18.87963214903107,33.9040770508613,33.887066426069765,35.44127287730146,35.02226534687211,31.788596863507415,-5.87028240538058,-1.1040717708813095,-1.7540095846766646,-5.87028240538058,True,True,True,False,-1.08,-1.08,-1.08,-1.08
