site_spp,A(std),A(pmax),E(std),E(pmax),gs(std),gs(pmax),gb(std),gb(pmax),Ci(std),Ci(pmax),Tleaf(std),Tleaf(pmax),Pleaf(std),Pleaf(pmax),Rublim(std),Rublim(pmax),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Tleaf,Pleaf
Richmond_Eucalyptus_cladocalyx,20.21448714906799,19.33301121807465,5.97971226336666,4.723383934183287,0.3787007739476421,0.2935453901204024,4.64,4.64,30.09585518110271,28.154974626267208,26.346040598882723,26.362146753320875,-3.248949549053189,-2.8084335550891124,False,False,-1.3,1801.25,26.245,1.6975,100.6,39.12538219,20,10.983333333333302,16.45,4.355,27.6110625,0.264,4.64,29.7725,-3.05
Richmond_Eucalyptus_cladocalyx,19.46886996305507,18.47778197807442,6.239367981023576,4.896016997860468,0.3455894196793957,0.2663866154971412,4.64,4.64,29.70572881458453,27.68124278634265,27.536893167746907,27.55457445291228,-3.4695778631235745,-2.9818429527059167,False,False,-1.4,1799.75,27.4375,1.93,100.6,39.18111094,20,11.15,17.125,4.6325,26.2938375,0.245,4.64,31.1225,-3.25
Richmond_Eucalyptus_cladocalyx,19.147518732254827,17.96498567904732,6.614523539975035,5.045829381269047,0.3254799749815423,0.2437215332938965,4.64,4.64,29.271652392625104,26.961999042223237,27.73795797140085,27.75869434510605,-3.6145801337882832,-3.034571051129447,False,True,-1.4,1800.25,27.645,2.1675,100.6,39.13146169,20,11.233333333333302,16.975,4.265,23.68471875,0.1989999999999999,4.64,32.05,-3.55
Richmond_Eucalyptus_cladocalyx,18.17678220286783,17.20592104107086,6.763006664105255,5.443073862105828,0.2964896146403923,0.2352845532024277,4.64,4.64,29.030290221016525,27.196399767127584,28.902159921755757,28.920008883261765,-3.416609965247892,-2.943552960469378,False,True,-1.2,1799.75,28.81,2.42,100.6,39.25355831,20,11.3833333333333,14.65,5.0425,26.26850625,0.21075,4.64,33.1175,-4.05
Richmond_Eucalyptus_cladocalyx,18.58723841243725,17.65234995722257,6.695454090957624,5.404293394399434,0.3106325064464166,0.2471160362535525,4.64,4.64,29.111517019051583,27.31334124293707,28.437843063751966,28.45515041219893,-3.389578136403405,-2.930037046047135,False,True,-1.2,1799.75,28.345,2.2925,100.6,39.11448975,20,11.4666666666667,15.575,5.5175,27.1044375,0.24525,4.64,32.515,-4.1
Richmond_Eucalyptus_cladocalyx,15.987450841704968,14.999489750194082,7.126770305346224,5.823871037804417,0.2313238551976432,0.1870532325915232,4.64,4.64,28.236551852840307,26.525939919112304,30.761037998527332,30.77920723597902,-3.689465543017266,-3.195553670996937,True,True,-1.3,1999.5,30.6525,3.22,100.4,39.60718256,20,13.45,5.465,3.02,27.99103125,0.091775,4.64,35.9725,-2.95
Richmond_Eucalyptus_cladocalyx,16.111491935841805,15.302170573618728,6.62523856441314,5.563747157194691,0.2459499217432025,0.2045281881045222,4.64,4.64,28.611320280634683,27.174235260225974,30.8248391728576,30.839653791943608,-3.4892310003063223,-3.102110884398497,True,True,-1.3,2000.75,30.705,2.8175,100.4,39.41770481,20,13.55,11.6,4.65,26.14185,0.16425,4.64,35.0875,-3.05
Richmond_Eucalyptus_cladocalyx,15.55079277688087,14.698396082016334,6.706351237827606,5.597500965141239,0.2284257999921164,0.1888639439517056,4.64,4.64,28.44091979777582,26.935745007211484,31.19986008713848,31.21542307061465,-3.6541262076059313,-3.232301420217687,True,True,-1.4,1999.0,31.0825,3.0625,100.4,39.63606019,20,13.683333333333302,8.03,3.4475,25.96453125,0.1105,4.64,35.9325,-3.25
Richmond_Eucalyptus_cladocalyx,15.172619224378158,14.604866135787104,6.123125068345152,5.37879069408914,0.2349303571133296,0.2048979086306665,4.64,4.64,28.655685716279667,27.62610759753662,31.57550708992547,31.58600838449832,-3.4300317893059264,-3.153209272582391,True,True,-1.4,2000.75,31.445,2.715,100.4,39.28952869,20,13.75,13.45,5.165,26.01519375,0.19025,4.64,35.4725,-3.55
Richmond_Eucalyptus_cladocalyx,15.36307624231171,14.862293538776056,6.393218522363797,5.7125328580181005,0.231998093426887,0.206016411860303,4.64,4.64,28.724404390124786,27.81370450812004,31.45976662818504,31.469355042734342,-3.28145082102546,-3.038164361425081,True,True,-1.2,2001.0,31.335,2.8725,100.4,39.62162138,20,13.933333333333302,8.2675,3.675,27.12976875,0.126,4.64,36.33,-4.05
Richmond_Eucalyptus_cladocalyx,15.264433254063634,14.907073246112969,6.086948905956282,5.59748372798171,0.2377581369638666,0.2175932988381081,4.64,4.64,28.89883660796986,28.23823057797082,31.601522209027777,31.608430151446267,-3.173323505647513,-2.997616618158351,True,True,-1.2,2000.25,31.47,2.6675,100.4,39.47520675,20,14.0,10.25,5.135,29.0296125,0.192,4.64,35.8075,-4.1
Richmond_Eucalyptus_cladocalyx,11.465630852338014,11.469733700272691,5.708676825975752,5.712837425940624,0.1562618312689185,0.1563719020878521,4.64,4.64,27.74175588606313,27.75195709355873,33.798601970583995,33.79854166883145,-3.155506762454749,-3.155506762454749,True,True,-1.3,1999.75,33.665,3.745,100.2,39.62846081,20,15.85,7.3325,5.5925,29.20693125,0.14725,4.64,37.19,-3.45
Richmond_Eucalyptus_cladocalyx,11.218891799724569,11.33943450211713,5.613466762345203,5.786935206079924,0.1536410810605114,0.158574393183795,4.64,4.64,27.617000747706108,27.857730990613124,33.9205486026912,33.918031258320426,-3.11545985391256,-3.182204701482875,True,True,-1.3,2000.75,33.785,3.7425,100.2,39.44075625,20,15.933333333333302,10.3,7.2825,28.4216625,0.1945,4.64,37.005,-3.4
Richmond_Eucalyptus_cladocalyx,10.57477092900542,10.519121187865334,5.896276861965672,5.813516203267505,0.1359893187821964,0.1340060463661657,4.64,4.64,26.9418669971465,26.83548001225796,34.127407120812,34.12861081512557,-3.337757617064748,-3.3113935678529827,True,True,-1.4,1999.75,34.0025,4.435,100.2,39.49192538,20,16.1166666666667,8.6425,5.78,25.86320625,0.128,4.64,38.375,-3.5
Richmond_Eucalyptus_cladocalyx,9.993262980375976,9.903711113528132,6.017603370606824,5.884910282122828,0.1224842532997599,0.1196918553701137,4.64,4.64,26.576127726105867,26.40135616090439,34.39808925904848,34.400024498561365,-3.3904857154882784,-3.337757617064748,True,True,-1.4,2000.25,34.28,5.0175,100.2,39.71053406,20,16.216666666666697,4.4,4.085,27.68705625,0.07905,4.64,39.6175,-3.15
Richmond_Eucalyptus_cladocalyx,9.725417908225795,10.0049997554029,5.765876304355538,6.203309464261839,0.1216190336450222,0.1311514924351003,4.64,4.64,26.675805664606933,27.251118444207915,34.611630891628295,34.605238559369745,-3.0516802758473243,-3.213871248914243,True,True,-1.2,1998.75,34.4875,4.8375,100.2,39.54740081,20,16.85,7.0575,7.5075,29.10560625,0.1535,4.64,38.875,-3.5
Richmond_Eucalyptus_cladocalyx,8.80213021893091,9.242568542699932,5.123250153198074,5.823871037804417,0.1106968173542231,0.1263295647733758,4.64,4.64,26.764958185831432,27.75478330853579,35.22923566108308,35.2189360860072,-2.941923250229742,-3.195553670996937,True,True,-1.3,1499.0,35.155,4.725,100.2,39.53600175,20,18.6666666666667,5.7825,7.2175,30.47349375,0.152,4.64,36.755,-2.6
Richmond_Eucalyptus_cladocalyx,8.953452382978556,9.293596372679314,5.359864785490489,5.897514859077135,0.1097112111819874,0.1210594620002689,4.64,4.64,26.73031457964213,27.48380192500366,35.11280522233256,35.10490883763676,-3.035366036828182,-3.2222516100250638,True,True,-1.3,1500.0,35.045,4.99,100.2,39.8349105,20,18.733333333333302,3.05,5.2925,32.04403125,0.1045,4.64,37.12,-3.3
Richmond_Eucalyptus_cladocalyx,8.87301405902084,9.148079517611386,5.417794668497928,5.849251802470634,0.1079122415433369,0.1167634302148361,4.64,4.64,26.501275073242105,27.10544363395288,35.09783837880731,35.09150164581065,-3.166391297188274,-3.3245755924588654,True,True,-1.4,1499.0,35.0325,5.13,100.25,39.70673437,20,18.85,4.3575,4.9675,29.2322625,0.095225,4.64,37.34,-2.65
Richmond_Eucalyptus_cladocalyx,8.8770012276183,9.223221392686463,5.304317120283263,5.849251802470634,0.1090947774667574,0.1206508185039331,4.64,4.64,26.65788387477947,27.425795938630817,35.14405352639716,35.13604639332253,-3.126845223370625,-3.3245755924588654,True,True,-1.4,1501.0,35.075,4.97,100.3,39.735612,20,18.9333333333333,5.5725,2.755,20.44231875,0.054175,4.64,36.495,-3.5
Richmond_Eucalyptus_cladocalyx,9.375661574671724,9.813492754710424,5.210767783821503,5.90280695831478,0.1206165962344859,0.1372029302928681,4.64,4.64,27.14660045752683,28.115361716231952,34.94810911911335,34.93795841739956,-2.862457473935919,-3.105743933536297,True,True,-1.2,1501.25,34.8725,4.4225,100.3,39.66645769,20,19.1166666666667,4.7825,6.865,31.917375,0.155,4.64,35.5075,-3.05
Richmond_Eucalyptus_cladocalyx,9.600006905322644,10.029445069956592,5.227876623729962,5.90280695831478,0.1246891286646011,0.1413736839692513,4.64,4.64,27.284492989415742,28.22937038423876,34.83633791069605,34.82644811855512,-2.862457473935919,-3.105743933536297,True,True,-1.2,1501.0,34.76,4.295,100.3,39.69457538,20,19.2,5.6125,6.67,31.18276875,0.1555,4.64,35.1125,-2.95
Richmond_Eucalyptus_cladocalyx,14.146174003813842,14.28571670434642,2.904781948513933,3.3956871168339235,0.3440405351489319,0.4077117288892474,4.64,4.64,32.33485031786958,33.301033502189995,21.30442868382958,21.29895991249813,-1.5753889767518294,-1.7332460053464216,False,False,-0.7,499.0,21.3025,0.922,101.7,39.32043281,41,8.83333333333333,11.225,3.0925,33.36125625,0.3595,4.64,22.44,-2.3
Richmond_Eucalyptus_cladocalyx,14.065485354857138,14.123444743955416,3.1635582400428883,3.34951772684941,0.3216199187820214,0.3420409400405954,4.64,4.64,31.92470059499562,32.31197011125901,21.32530603541659,21.323232623605453,-1.661492810530698,-1.718895366383277,False,False,-0.7,498.0,21.3275,1.07,101.7,39.32549906,41,8.91666666666667,10.6775,3.505,33.46258125,0.35025,4.64,22.6725,-1.5
Richmond_Eucalyptus_cladocalyx,14.184752998234623,14.256212109389317,3.001703835238473,3.232950402376287,0.3337728938498598,0.3616621358417525,4.64,4.64,32.382576127669616,32.87178673192263,21.293044131209797,21.29046869408714,-1.663098656579494,-1.734434489124767,False,False,-0.75,500.75,21.2925,0.98125,101.8,39.59679675,41,9.03333333333333,9.9,3.4,34.42516875,0.37225,4.64,22.4525,-2.1
Richmond_Eucalyptus_cladocalyx,14.246206624250252,14.289580405091828,2.912763168383533,3.049134460337916,0.342525750946017,0.3599176277346363,4.64,4.64,32.56643671552792,32.86605417578873,21.161977540743987,21.160465732323235,-1.634564323561385,-1.6773658230885484,False,False,-0.75,502.0,21.16,0.92925,101.8,39.63758006,41,9.11666666666667,8.5425,3.515,35.46375,0.4105,4.64,22.12,-1.5
Richmond_Eucalyptus_cladocalyx,14.199713854845294,14.271043837053336,2.9085474916591494,3.1411173684432474,0.3409287309365245,0.3705500286228325,4.64,4.64,32.5640603028371,33.06262085446473,21.10168699982009,21.099114152253463,-1.634564323561385,-1.7059001561066578,False,False,-0.75,499.0,21.1,0.932,101.8,39.64315294,41,9.26666666666667,8.555,3.1875,35.05845,0.36775,4.64,22.035,-2.1
Richmond_Eucalyptus_cladocalyx,14.191204724148545,14.259109949983475,3.01146706194748,3.232950402376287,0.3316135062859456,0.3580425062924336,4.64,4.64,32.45565150432552,32.92902834080727,21.025054161657888,21.02261042602592,-1.663098656579494,-1.734434489124767,False,False,-0.75,499.0,21.025,0.9905,101.8,39.7173735,41,9.33333333333333,6.5425,2.66,35.18510625,0.28325,4.64,22.2125,-1.8
Richmond_Eucalyptus_cladocalyx,21.07008897571124,20.781028910995257,5.47778412817771,4.939193378264901,0.4367435745778939,0.3899132174825399,4.64,4.64,31.03851844212059,30.243165508516284,23.82355683521952,23.83003270015128,-2.39337539765108,-2.221167730093343,False,False,-0.7,1800.5,23.7225,1.3775,101.7,39.37058869,41,10.7,12.2,4.9925,33.133275,0.38925,4.64,26.2275,-2.3
Richmond_Eucalyptus_cladocalyx,21.082528702786483,20.7758757710877,5.457892470315057,4.894615598282578,0.4369831959099837,0.3878150770538915,4.64,4.64,31.0940560121982,30.2565653769121,24.017073488143065,24.023882689826884,-2.39337539765108,-2.2068170911301985,False,False,-0.7,1800.5,23.915,1.37,101.6,39.41871806,41,10.7833333333333,12.075,5.135,33.43725,0.4035,4.64,26.3875,-2.25
Richmond_Eucalyptus_cladocalyx,20.938745074140083,20.480964697834573,5.686589676617457,4.90015702301494,0.4208759837419991,0.3577803234055751,4.64,4.64,30.836802992013496,29.656895102854072,24.595392225169007,24.605053298295843,-2.51912864712277,-2.262319649959787,False,False,-0.75,1799.5,24.495,1.48,101.7,39.40605244,41,10.9,11.3,4.7625,32.8293,0.341,4.64,27.0275,-2.7
Richmond_Eucalyptus_cladocalyx,21.000167590105452,20.58396514451755,5.529879733257303,4.81178334492028,0.4294464353473816,0.3688543219735505,4.64,4.64,31.02277586028465,29.937156047247534,24.670836912828747,24.679674793977423,-2.462059981086551,-2.233785316941677,False,False,-0.75,1801.0,24.5675,1.41,101.6,39.4498755,41,10.983333333333302,11.625,4.665,32.8799625,0.35125,4.64,26.9925,-2.55
Richmond_Eucalyptus_cladocalyx,21.05165034646469,20.710214897507303,5.515619389199698,4.90015702301494,0.431784424100558,0.379338872662014,4.64,4.64,31.04070748736581,30.122732154594733,24.204267695026907,24.211746914852,-2.462059981086551,-2.262319649959787,False,False,-0.75,1800.0,24.1025,1.4,101.6,39.4458225,41,11.15,11.025,4.97,33.5892375,0.3795,4.64,26.5625,-2.75
Richmond_Eucalyptus_cladocalyx,21.08373841399456,20.711263977874054,5.483395507608516,4.81178334492028,0.4342021716045506,0.3763539065619059,4.64,4.64,31.081873889839557,30.06359810697369,23.858496662173422,23.866579256946725,-2.4477928145774968,-2.233785316941677,False,False,-0.75,1800.0,23.7575,1.385,101.6,39.45620831,41,11.233333333333302,9.7675,5.005,34.24785,0.387,4.64,26.1175,-2.5
Richmond_Eucalyptus_cladocalyx,18.899455250636976,18.79000753037992,5.6936923015394445,5.513480074071314,0.3571062887988135,0.3448984494243655,4.64,4.64,30.425916884304677,30.187028940872388,28.82317089850824,28.82560606135641,-2.465128592466804,-2.407726036614225,False,False,-0.7,1800.0,28.71,1.715,101.4,39.41770481,41,13.733333333333302,9.46,5.8875,33.8932125,0.36225,4.64,30.5625,-3.35
Richmond_Eucalyptus_cladocalyx,18.87221872205224,18.823161415609864,5.686260429497515,5.60093100927201,0.3554691613314855,0.3497304227119469,4.64,4.64,30.477599448680905,30.36895090578408,28.886027982069628,28.88718236258188,-2.465128592466804,-2.436427314540514,False,False,-0.7,1800.75,28.7725,1.72,101.4,39.49521844,41,13.85,9.66,5.805,33.7918875,0.35475,4.64,30.7675,-3.3
Richmond_Eucalyptus_cladocalyx,18.55414212159502,18.48149630408692,5.720123309574941,5.598727454242985,0.3433617483805377,0.3355190536408468,4.64,4.64,30.386917566869737,30.229583804416645,29.211109907635706,29.212762019998696,-2.533395813631824,-2.4905943141046603,False,False,-0.75,1801.25,29.0975,1.7875,101.4,39.54588094,41,13.9666666666667,8.805,5.7725,34.01986875,0.3389999999999999,4.64,31.2475,-2.95
Richmond_Eucalyptus_cladocalyx,18.57707274718136,18.369327532998533,5.794511887830313,5.468933055506644,0.3421800817982962,0.3214732670044877,4.64,4.64,30.276526737383087,29.835718419739862,29.12696661432302,29.13139089978264,-2.5619301466499333,-2.4477928145774968,False,False,-0.75,1800.75,29.015,1.8175,101.4,39.47647331,41,14.066666666666698,9.505,5.41,33.133275,0.31,4.64,31.3625,-3.15
Richmond_Eucalyptus_cladocalyx,18.291995278410383,18.222769199109763,5.66948793734835,5.555525984407527,0.3379734900308146,0.3306699486394902,4.64,4.64,30.350419660642533,30.201615193684685,29.477305376106543,29.47886365365773,-2.51912864712277,-2.476327147595605,False,False,-0.75,1798.5,29.3625,1.7975,101.4,39.51548344,41,14.2,8.2825,5.9875,34.349175,0.34975,4.64,31.4475,-3.05
Richmond_Eucalyptus_cladocalyx,17.957720199302717,17.93917191165817,5.546678118506724,5.512261023305108,0.3333096129485582,0.3311174745956649,4.64,4.64,30.360859752263224,30.319737260602796,29.82804607602605,29.828519518279982,-2.476327147595605,-2.462059981086551,False,False,-0.75,1800.0,29.71,1.78,101.4,39.47723325,41,14.2833333333333,10.375,6.3225,33.61456875,0.3745,4.64,31.6325,-3.25
Richmond_Eucalyptus_cladocalyx,17.622494325977698,17.41733458755045,6.091499765845528,5.775074561038028,0.3054471849573648,0.288469590658402,4.64,4.64,29.73844781341504,29.324548618806627,29.86989203252193,29.87424734940368,-2.594284343135106,-2.493829870393093,False,False,-0.7,1800.5,29.7625,2.125,101.2,39.43315688,41,16.3833333333333,10.6,6.0375,32.04403125,0.2955,4.64,31.17,-3.07
Richmond_Eucalyptus_cladocalyx,17.898253421421284,17.749750405812932,5.965959621996041,5.731634696890668,0.3158873895015855,0.3025807952469589,4.64,4.64,29.992132725703527,29.685451377139835,29.71457505768431,29.71779170715838,-2.5512324262456723,-2.4794792314299485,False,False,-0.7,1799.75,29.605,2.015,101.2,39.53068219,41,16.45,8.51,6.8575,34.22251875,0.358,4.64,30.7725,-3.15
Richmond_Eucalyptus_cladocalyx,17.309766126486057,17.2165312559786,6.134495219671869,5.984603884946692,0.2967018480326661,0.2889537047873406,4.64,4.64,29.513646875837328,29.3269108861953,30.06677779849547,30.06884774152816,-2.67606747872237,-2.618998812686152,True,True,-0.75,1801.0,29.96,2.2,101.2,39.301941,41,16.6166666666667,12.4,6.2025,30.8028,0.2925,4.64,31.2275,-3.15
Richmond_Eucalyptus_cladocalyx,16.84070166206755,16.635037351824263,6.297549952272321,5.984603884946692,0.2769896427905564,0.262338459070108,4.64,4.64,29.357701144705484,28.95547379804227,30.42600538226357,30.43035188767508,-2.718868978249534,-2.618998812686152,True,True,-0.75,1800.0,30.3225,2.41,101.1,39.512697,41,16.766666666666698,9.88,7.37,32.7786375,0.3185,4.64,32.265,-3.15
