site_spp,A(const),E(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,1.7498563938475669,0.1308452994295938,4.64,10.477193149891846,22.44779517941177,-1.0416886067282598,True,-1.0,1001.5,21.2775,1.155,102.4,38.66232694,57,11.733333333333302,25.75,4.6475,27.83904375,0.4415,4.64,-2.4,22.83
Richmond_Eucalyptus_cladocalyx,1.7510787987159993,0.13047611996453046,4.64,10.542358540867856,22.591308194141288,-1.1511358429091645,True,-1.11,999.25,21.4225,1.15,102.4,38.74718663,57,11.8666666666667,25.575,4.7575,28.29500625,0.45575,4.64,-2.6,22.8475
Richmond_Eucalyptus_cladocalyx,1.7577910653154414,0.12986122858963708,4.64,10.561805704435397,22.60628225354816,-1.2207840841151945,True,-1.18,1000.25,21.435,1.1425,102.35,38.86092394,57,11.95,23.2,4.62,29.05494375,0.443,4.64,-2.75,22.8
Richmond_Eucalyptus_cladocalyx,1.7523970771220705,0.13316071268627813,4.64,10.610239085592193,22.751249577418125,-1.1909348378840383,True,-1.15,999.0,21.585,1.175,102.3,38.80874156,57,12.033333333333301,23.6,4.7075,28.7763,0.43925,4.64,-2.75,23.12
Richmond_Eucalyptus_cladocalyx,1.6774595204664051,0.12507009412844952,4.64,11.730798870886815,25.52984979290172,-0.7431961444167021,True,-0.7,999.25,24.325,1.055,102.3,38.72362856,57,12.25,24.375,4.545,29.10560625,0.47475,4.64,-3.0,23.84
Richmond_Eucalyptus_cladocalyx,1.6652639406495162,0.12268038927881447,4.64,12.127872011204614,26.379248993041426,-0.7431961444167021,True,-0.7,1000.25,25.16,1.0175,102.3,38.92450537,57,12.35,20.45,2.55,25.2805875,0.26425,4.64,-2.35,24.3375
Richmond_Eucalyptus_cladocalyx,1.6818336873707127,0.19282614538455145,4.64,12.028893295057852,26.35467806005689,-1.0416886067282598,True,-1.0,1801.0,24.095,1.54,102.1,39.04001588,57,14.066666666666698,19.85,5.0125,28.34566875,0.34725,4.64,-2.65,26.305
Richmond_Eucalyptus_cladocalyx,1.6535920171118836,0.18942995901448872,4.64,12.055846391695273,26.540439375364947,-1.0416886067282598,True,-1.0,1800.25,24.275,1.5,102.1,38.61343762,57,14.15,26.65,5.8375,26.8004625,0.422,4.64,-3.2,26.4325
Richmond_Eucalyptus_cladocalyx,1.6533221018812758,0.20109747251826424,4.64,12.207092750616471,26.84182703612589,-1.2207840841151945,True,-1.18,1799.5,24.59,1.615,102.1,38.76035888,57,14.3,25.475,6.0175,26.87645625,0.402,4.64,-3.15,27.1775
Richmond_Eucalyptus_cladocalyx,1.643954407820966,0.19842880147147227,4.64,12.21744280859854,26.90590510659305,-0.8526433805976066,True,-0.81,1801.0,24.6475,1.585,102.1,38.62027706,57,14.3666666666667,26.825,6.1075,26.57248125,0.417,4.64,-2.95,27.335
Richmond_Eucalyptus_cladocalyx,1.6630149687880893,0.20590988437906246,4.64,12.231284755335107,26.844856015455303,-0.7431961444167021,True,-0.7,1801.0,24.5975,1.665,102.1,38.94021075,57,14.516666666666698,20.725,5.1275,27.2057625,0.327,4.64,-3.1,27.285
Richmond_Eucalyptus_cladocalyx,1.6513615644518786,0.19281377324467627,4.64,12.164861000336671,26.76736837710835,-0.7431961444167021,True,-0.7,1799.5,24.505,1.53,102.1,38.68664494,57,14.583333333333302,25.825,6.17,27.5604,0.4385,4.64,-3.0,26.8675
Richmond_Eucalyptus_cladocalyx,1.6593039054645549,0.2112176181663505,4.64,12.397347853009867,27.156487759145545,-1.0833772134565196,True,-1.0,1499.75,25.34,1.79,101.9,38.99416631,57,16.1166666666667,19.8,4.57,25.5339,0.26825,4.64,-2.65,26.88
Richmond_Eucalyptus_cladocalyx,1.640201301993378,0.20156159799219892,4.64,12.379018455831428,27.20899255227611,-1.0914373504468529,True,-1.05,1500.5,25.3775,1.6875,101.9,38.669673,57,16.25,25.625,6.995,27.78838125,0.45125,4.64,-2.9,27.015
Richmond_Eucalyptus_cladocalyx,1.6473944256297668,0.2009056948291238,4.64,12.354670156177866,27.12818295016406,-1.210834335371476,True,-1.17,1500.0,25.2975,1.6825,101.9,38.76061219,57,16.3166666666667,24.375,6.615,27.83904375,0.42525,4.64,-2.7,26.865
Richmond_Eucalyptus_cladocalyx,1.6510623109576767,0.21160805085819687,4.64,12.409370505288653,27.218136500721606,-0.7431961444167021,True,-0.7,1500.75,25.4,1.7925,101.9,38.87409619,57,16.516666666666698,21.575,5.695,26.92711875,0.3375,4.64,-2.8,27.2625
